scenario,FedEx,IP,OnTrac,UPS,weekly_cost_$,savings_$,annualized_savings_$
Current,99058,37366,15011,28566,1450521.0,0.0,0.0
Shift 5% from FedEx+UPS → IP,94106,43746,15011,27138,1436123.0,14398.0,748696.0
